airlineFsCode,directs,allOntimeCumulative,allStars,delayObservations,ontimePercent,delayStandardDeviation,codeshares,delayMax,arrivalAirportFsCode,delayMin,allDelayCumulative,allDelayStars,allOntimeStars,late45,observations,diverted,ontime,flightNumber,delayMean,late15,cancelled,late30,departureAirportFsCode,req_carrier,req_flightNumber,req_origin,req_dest
AA,0,0.017899999,0.050000001,1,0,0,0,205,BCN,205,0,0,0.1,1,1,0,0,66,205,0,0,0,BOS,AAL,66,JFK,LEBL
AA,0,0.0548,0.25,26,0.72131145,47.927189,0,202,BCN,0,0.0359,0.2,0.30000001,8,61,0,44,66,39,7,0,2,JFK,AAL,66,JFK,LEBL
AA,0,0.27430001,0.69999999,23,0.77419353,116.03242,0,553,MIA,0,0,0,1.4,8,62,0,48,112,57,2,2,2,MCO,AAL,112,MIA,LEBL
AA,0,0,0,40,0.46774194,58.756779,0,216,BCN,0,0,0,0,18,62,2,29,112,59,14,1,0,MIA,AAL,112,MIA,LEBL
DL,0,0.46020001,2.3,6,0.80000001,25.073227,0,66,JFK,1,0.46020001,2.3,2.3,2,15,0,12,476,25,1,0,0,BOS,DAL,476,JFK,LEBL
DL,0,0.72570002,3.7,5,0.85714287,16.180235,0,37,JFK,1,0.75800002,3.8,3.5999999,0,14,0,12,476,12,1,0,1,LAX,DAL,476,JFK,LEBL
DL,0,0.90319997,2.6500001,3,0.93333334,74.272026,0,133,BCN,1,0.1587,0.80000001,4.5,1,15,0,14,476,47,0,0,0,JFK,DAL,476,JFK,LEBL
AV,0,0,0,54,0.3114754,33.62125,0,125,BCN,1,0,0,0,16,61,0,19,18,40,15,0,11,BOG,AVA,18,SKBO,LEBL
AA,0,0.57929999,1.45,24,0.80645162,84.597214,0,397,JFK,1,0,0,2.9000001,7,62,0,50,67,48,4,0,1,BCN,AAL,67,LEBL,JFK
AA,0,0.0139,0.050000001,28,0.69354838,71.029396,0,294,SFO,0,0,0,0.1,14,62,0,43,67,64,3,0,2,JFK,AAL,67,LEBL,JFK
DL,0,0.75800002,3.05,4,0.86666667,35.761944,0,80,JFK,5,0.46020001,2.3,3.8,1,15,0,13,477,26,1,0,0,BCN,DAL,477,LEBL,JFK
DL,0,0.95539999,4.1500001,1,1,0,0,4,ATL,4,0.69150001,3.5,4.8000002,0,11,0,11,477,4,0,0,0,JFK,DAL,477,LEBL,JFK
DL,0,0.69150001,3,0,1,0,0,0,DCA,0,0.5,2.5,3.5,0,1,0,1,477,0,0,0,0,JFK,DAL,477,LEBL,JFK
AA,0,0,0,45,0.37096775,54.146389,0,213,MIA,1,0,0,0,19,62,0,23,113,55,15,3,2,BCN,AAL,113,LEBL,MIA
AA,0,0,1.25,42,0.67741936,31.283871,0,162,MCO,0,0.5,2.5,0,10,62,0,42,113,24,5,2,3,MIA,AAL,113,LEBL,MIA
AV,0,0.1841,0.44999999,20,0.75806451,113.59034,0,521,BOG,2,0,0,0.89999998,9,62,0,47,19,69,3,0,3,BCN,AVA,19,LEBL,SKBO
HA,0,0.38209999,2.9000001,16,0.78571427,18.410143,0,71,BNE,0,0.7881,3.9000001,1.9,2,28,0,22,443,16,4,0,0,HNL,HAL,443,HNL,YBBN
QF,0,0.57929999,1.85,30,0.80645162,49.075371,0,177,LAX,0,0.1587,0.80000001,2.9000001,6,62,0,50,15,32,3,0,3,BNE,QFA,15,YBBN,LAX
AC,0,1,4.6999998,13,0.9464286,11.550336,0,34,YVR,0,0.88489997,4.4000001,5,0,56,0,53,36,10,1,0,2,BNE,ACA,36,YBBN,YVR
QF,0,0,0,50,0.30000001,51.673084,0,246,BNE,1,0,0,0,25,60,0,18,16,58,12,0,5,LAX,QFA,16,LAX,YBBN
AC,0,0,0.55000001,41,0.51851851,36.041016,0,200,BNE,0,0.2119,1.1,0,6,54,0,28,35,29,12,0,8,YVR,ACA,35,YVR,YBBN
HA,0,0.81590003,2.05,5,0.86206895,249.86856,0,592,HNL,13,0,0,4.0999999,2,29,0,25,444,146,1,0,1,BNE,HAL,444,YBBN,HNL
LA,0,0.97719997,3.5,20,0.90163934,40.749393,61,143,MDE,0,0.42070001,2.0999999,4.9000001,4,61,0,55,3010,25,2,0,0,BOG,LAN,3010,SKBO,SKMD
AV,0,0,0,31,0.61403507,112.7617,0,599,BOG,0,0,0,0,11,57,0,35,9313,69,6,1,4,MDE,AVA,9313,SKMD,SKBO
EQ,0,0.69150001,3.55,1,1,0,0,0,CCS,0,0.72570002,3.5999999,3.5,0,1,0,1,524,0,0,0,0,BOG,TAE,524,SKBO,SVMI
EQ,0,0.30849999,1.7,25,0.77499998,54.246105,0,270,BOG,0,0.38209999,1.9,1.5,3,40,0,31,524,26,4,0,2,UIO,TAE,524,SKBO,SVMI
LA,0,0.86430001,3.95,19,0.85483873,19.873137,62,70,CUN,1,0.72570002,3.5999999,4.3000002,2,62,0,53,3508,18,5,0,2,BOG,LAN,3508,SKBO,MMUN
LA,0,0,0.30000001,29,0.55813956,43.743851,43,194,BOG,1,0.1151,0.60000002,0,6,43,0,24,3095,33,8,0,5,CTG,LAN,3095,SKCG,SKBO
AV,0,0,0.40000001,36,0.61666667,51.605549,0,277,BOG,0,0.1587,0.80000001,0,7,60,0,37,9737,31,7,6,3,MDE,AVA,9737,SKMD,SKBO
LA,0,0,0,51,0.46774194,52.100994,62,234,BOG,0,0,0,0,12,62,0,29,3045,40,11,0,10,ADZ,LAN,3045,SKSP,SKBO
AV,0,0.080799997,0.80000001,22,0.73333335,35.41238,0,136,CTG,1,242,1.2,0.40000001,4,60,0,44,9788,30,3,3,6,BOG,AVA,9788,SKBO,SKCG
AV,0,0,0,48,0.34482759,68.874435,0,342,BOG,0,0,0,0,15,58,0,20,8561,53,12,0,11,ADZ,AVA,8561,SKSP,SKBO
LA,0,0.27430001,1.3,28,0.76923078,39.741627,52,143,BOG,0,242,1.2,1.4,7,52,0,40,3011,29,4,0,1,MDE,LAN,3011,SKMD,SKBO
LA,0,242,1.35,20,0.75,42.030659,0,146,BOG,0,0.30849999,1.5,1.2,5,28,0,21,3011,28,1,0,1,EOH,LAN,3011,SKMD,SKBO
JJ,0,0.86430001,2.75,14,0.85483873,38.521652,0,121,BOG,0,242,1.2,4.3000002,3,62,0,53,8000,32,4,0,2,GRU,TAM,8000,SBGR,SKBO
AV,0,0.0107,0.1,23,0.68421054,51.151176,0,201,CLO,1,0.0139,0.1,0.1,9,57,0,39,9221,44,4,4,1,BOG,AVA,9221,SKBO,SKCL
AV,0,0,0.25,36,0.64406782,38.197979,0,143,BOG,0,0.096799999,0.5,0,10,59,0,38,8527,33,7,1,3,BAQ,AVA,8527,SKBQ,SKBO
AV,0,242,1.3,23,0.77049178,45.265488,0,185,BOG,1,0.27430001,1.4,1.2,4,61,0,47,9319,29,6,4,0,MDE,AVA,9319,SKMD,SKBO
LA,0,0.1357,0.75,16,0.72972971,40.267231,37,152,ADZ,0,0.1587,0.80000001,0.69999999,5,37,0,27,3266,34,4,0,1,BOG,LAN,3266,SKBO,SKSP
AV,0,0.1587,0.5,27,0.75409836,52.372952,0,180,MDE,0,0.0359,0.2,0.80000001,7,61,0,46,9308,39,5,1,2,BOG,AVA,9308,SKBO,SKMD
AV,0,0,0.050000001,32,0.5714286,50.260761,0,241,BOG,0,0.0228,0.1,0,8,49,0,28,8420,39,8,0,5,CLO,AVA,8420,SKCL,SKBO
